appid,discount_percent,review_volume,type
292030,10.001666944490749,424.0,AAA
292030,0.0,176.0,AAA
292030,10.001666944490749,150.0,AAA
292030,0.0,56.0,AAA
292030,30.005000833472245,58.0,AAA
292030,0.0,42.0,AAA
292030,30.005000833472245,48.0,AAA
292030,0.0,53.0,AAA
292030,30.005000833472245,80.0,AAA
292030,0.0,40.0,AAA
292030,50.008334722453746,69.0,AAA
292030,0.0,68.0,AAA
292030,50.008334722453746,169.0,AAA
292030,0.0,70.0,AAA
292030,50.008334722453746,198.0,AAA
292030,0.0,56.0,AAA
292030,50.008334722453746,97.0,AAA
292030,40.00800160032007,63.0,AAA
292030,0.0,75.0,AAA
292030,50.010002000400085,268.0,AAA
292030,0.0,76.0,AAA
292030,50.010002000400085,216.0,AAA
292030,0.0,64.0,AAA
292030,50.010002000400085,121.0,AAA
292030,37.509377344336094,83.0,AAA
292030,16.672224074691563,61.0,AAA
292030,37.509377344336094,83.0,AAA
292030,6.718924972004482,90.0,AAA
292030,37.509377344336094,122.0,AAA
292030,6.718924972004482,55.0,AAA
292030,37.509377344336094,69.0,AAA
292030,0.0,61.0,AAA
292030,50.01250312578146,997.0,AAA
292030,0.0,44.0,AAA
292030,50.01250312578146,447.0,AAA
292030,16.673614005835766,96.0,AAA
292030,50.01250312578146,183.0,AAA
292030,16.673614005835766,60.0,AAA
292030,50.01250312578146,177.0,AAA
292030,16.673614005835766,78.0,AAA
292030,50.01250312578146,161.0,AAA
292030,16.673614005835766,83.0,AAA
292030,50.01250312578146,265.0,AAA
292030,16.673614005835766,81.0,AAA
292030,50.01250312578146,251.0,AAA
292030,0.0,84.0,AAA
292030,50.01250312578146,239.0,AAA
292030,0.0,134.0,AAA
292030,50.01250312578146,166.0,AAA
292030,0.0,80.0,AAA
292030,50.01250312578146,1898.0,AAA
292030,0.0,56.0,AAA
292030,50.01250312578146,332.0,AAA
292030,0.0,437.0,AAA
292030,50.01250312578146,147.0,AAA
292030,0.0,163.0,AAA
292030,50.01250312578146,839.0,AAA
292030,0.0,67.0,AAA
292030,50.01250312578146,148.0,AAA
292030,0.0,402.0,AAA
292030,50.01250312578146,129.0,AAA
292030,50.01250312578146,410.0,AAA
292030,0.0,53.0,AAA
292030,50.01250312578146,127.0,AAA
292030,0.0,84.0,AAA
292030,50.01250312578146,289.0,AAA
292030,0.0,87.0,AAA
292030,50.01250312578146,1257.0,AAA
292030,0.0,34.0,AAA
292030,50.01250312578146,144.0,AAA
292030,0.0,63.0,AAA
292030,70.01750437609402,178.0,AAA
292030,0.0,58.0,AAA
292030,70.01750437609402,138.0,AAA
292030,0.0,59.0,AAA
292030,70.01750437609402,122.0,AAA
292030,0.0,73.0,AAA
292030,70.01750437609402,121.0,AAA
292030,0.0,47.0,AAA
292030,70.01750437609402,107.0,AAA
292030,0.0,158.0,AAA
292030,70.01750437609402,1039.0,AAA
292030,0.0,1143.0,AAA
292030,70.01750437609402,443.0,AAA
292030,0.0,293.0,AAA
292030,70.01750437609402,759.0,AAA
292030,0.0,282.0,AAA
292030,70.01750437609402,357.0,AAA
292030,0.0,281.0,AAA
292030,70.01750437609402,4866.0,AAA
292030,0.0,516.0,AAA
292030,70.01750437609402,768.0,AAA
292030,0.0,386.0,AAA
292030,0.0,355.0,AAA
292030,70.01750437609402,608.0,AAA
292030,0.0,234.0,AAA
