"DateTime","Followers"
"2019-12-31 00:00:00",49314
"2020-01-01 00:00:00",49405
"2020-01-02 00:00:00",49514
"2020-01-03 00:00:00",49626
"2020-01-04 00:00:00",49711
"2020-01-05 00:00:00",49800
"2020-01-06 00:00:00",49883
"2020-01-07 00:00:00",49966
"2020-01-08 00:00:00",50023
"2020-01-09 00:00:00",50083
"2020-01-10 00:00:00",50130
"2020-01-11 00:00:00",50168
"2020-01-12 00:00:00",50224
"2020-01-13 00:00:00",50269
"2020-01-14 00:00:00",50292
"2020-01-15 00:00:00",50333
"2020-01-16 00:00:00",50372
"2020-01-17 00:00:00",50403
"2020-01-18 00:00:00",50445
"2020-01-19 00:00:00",50487
"2020-01-20 00:00:00",50526
"2020-01-21 00:00:00",50560
"2020-01-22 00:00:00",50597
"2020-01-23 00:00:00",50620
"2020-01-24 00:00:00",50665
"2020-01-25 00:00:00",50725
"2020-01-26 00:00:00",50793
"2020-01-27 00:00:00",50847
"2020-01-28 00:00:00",50889
"2020-01-29 00:00:00",50920
"2020-01-30 00:00:00",50941
"2020-01-31 00:00:00",50963
"2020-02-01 00:00:00",51002
"2020-02-02 00:00:00",51032
"2020-02-03 00:00:00",51061
"2020-02-04 00:00:00",51085
"2020-02-05 00:00:00",51107
"2020-02-06 00:00:00",51117
"2020-02-07 00:00:00",51133
"2020-02-08 00:00:00",51152
"2020-02-09 00:00:00",51178
"2020-02-10 00:00:00",51194
"2020-02-11 00:00:00",51211
"2020-02-12 00:00:00",51240
"2020-02-13 00:00:00",51257
"2020-02-14 00:00:00",51269
"2020-02-15 00:00:00",51291
"2020-02-16 00:00:00",51313
"2020-02-17 00:00:00",51334
"2020-02-18 00:00:00",51348
"2020-02-19 00:00:00",51360
"2020-02-20 00:00:00",51380
"2020-02-21 00:00:00",51386
"2020-02-22 00:00:00",51405
"2020-02-23 00:00:00",51418
"2020-02-24 00:00:00",51431
"2020-02-25 00:00:00",51446
"2020-02-26 00:00:00",51458
"2020-02-27 00:00:00",51473
"2020-02-28 00:00:00",51473
"2020-02-29 00:00:00",51509
"2020-03-01 00:00:00",51519
"2020-03-02 00:00:00",51535
"2020-03-03 00:00:00",51546
"2020-03-04 00:00:00",51568
"2020-03-05 00:00:00",51578
"2020-03-06 00:00:00",51589
"2020-03-07 00:00:00",51590
"2020-03-08 00:00:00",51605
"2020-03-09 00:00:00",51622
"2020-03-10 00:00:00",51645
"2020-03-11 00:00:00",51663
"2020-03-12 00:00:00",51669
"2020-03-13 00:00:00",51680
"2020-03-14 00:00:00",51690
"2020-03-15 00:00:00",51710
"2020-03-16 00:00:00",51724
"2020-03-17 00:00:00",51739
"2020-03-18 00:00:00",51756
"2020-03-19 00:00:00",51778
"2020-03-20 00:00:00",51787
"2020-03-21 00:00:00",51806
"2020-03-22 00:00:00",51822
"2020-03-23 00:00:00",51840
"2020-03-24 00:00:00",51924
"2020-03-25 00:00:00",51996
"2020-03-26 00:00:00",52041
