"DateTime","Positive reviews","Negative reviews"
"2015-05-18 00:00:00",,
"2015-05-19 00:00:00",286,-51
"2015-05-20 00:00:00",2068,-343
"2015-05-21 00:00:00",1021,-106
"2015-05-22 00:00:00",782,-213
"2015-05-23 00:00:00",555,-15
"2015-05-24 00:00:00",501,-10
"2015-05-25 00:00:00",526,-21
"2015-05-26 00:00:00",552,-12
"2015-05-27 00:00:00",486,-5
"2015-05-28 00:00:00",440,-10
"2015-05-29 00:00:00",426,-2
"2015-05-30 00:00:00",338,-4
"2015-05-31 00:00:00",308,-4
"2015-06-01 00:00:00",,
"2015-06-02 00:00:00",606,-30
"2015-06-03 00:00:00",282,-10
"2015-06-04 00:00:00",278,-10
"2015-06-05 00:00:00",227,-8
"2015-06-06 00:00:00",219,-7
"2015-06-07 00:00:00",231,-3
"2015-06-08 00:00:00",248,-11
"2015-06-09 00:00:00",186,-6
"2015-06-10 00:00:00",189,-8
"2015-06-11 00:00:00",185,-9
"2015-06-12 00:00:00",161,-1
"2015-06-13 00:00:00",195,-2
"2015-06-14 00:00:00",194,-2
"2015-06-15 00:00:00",206,-10
"2015-06-16 00:00:00",165,-3
"2015-06-17 00:00:00",150,
"2015-06-18 00:00:00",185,-5
"2015-06-19 00:00:00",129,-3
"2015-06-20 00:00:00",165,-10
"2015-06-21 00:00:00",147,-10
"2015-06-22 00:00:00",160,-10
"2015-06-23 00:00:00",146,-2
"2015-06-24 00:00:00",207,
"2015-06-25 00:00:00",155,-1
"2015-06-26 00:00:00",149,
"2015-06-27 00:00:00",112,-2
"2015-06-28 00:00:00",129,-8
"2015-06-29 00:00:00",140,-3
"2015-06-30 00:00:00",135,-3
"2015-07-01 00:00:00",132,-4
"2015-07-02 00:00:00",119,
"2015-07-03 00:00:00",88,-6
"2015-07-04 00:00:00",80,
"2015-07-05 00:00:00",104,
"2015-07-06 00:00:00",103,-2
"2015-07-07 00:00:00",88,-2
"2015-07-08 00:00:00",79,-3
"2015-07-09 00:00:00",122,
"2015-07-10 00:00:00",82,
"2015-07-11 00:00:00",73,-2
"2015-07-12 00:00:00",95,-5
"2015-07-13 00:00:00",96,-6
"2015-07-14 00:00:00",71,-1
"2015-07-15 00:00:00",57,-1
"2015-07-16 00:00:00",65,
"2015-07-17 00:00:00",45,-2
"2015-07-18 00:00:00",52,-4
"2015-07-19 00:00:00",92,-3
"2015-07-20 00:00:00",88,
"2015-07-21 00:00:00",70,-8
"2015-07-22 00:00:00",51,-7
"2015-07-23 00:00:00",76,-2
"2015-07-24 00:00:00",78,-2
"2015-07-25 00:00:00",55,-2
"2015-07-26 00:00:00",62,-2
"2015-07-27 00:00:00",65,-3
"2015-07-28 00:00:00",69,-10
"2015-07-29 00:00:00",59,-5
"2015-07-30 00:00:00",59,
"2015-07-31 00:00:00",46,-4
"2015-08-01 00:00:00",52,
"2015-08-02 00:00:00",53,-1
"2015-08-03 00:00:00",47,-2
"2015-08-04 00:00:00",44,-4
"2015-08-05 00:00:00",55,-1
