"DateTime","Positive reviews","Negative reviews"
"2015-05-13 00:00:00",,
"2015-05-14 00:00:00",,-15
"2015-05-15 00:00:00",43,-56
"2015-05-16 00:00:00",33,-51
"2015-05-17 00:00:00",48,-65
"2015-05-18 00:00:00",26,-74
"2015-05-19 00:00:00",40,-55
"2015-05-20 00:00:00",21,-30
"2015-05-21 00:00:00",29,-28
"2015-05-22 00:00:00",29,-54
"2015-05-23 00:00:00",29,-48
"2015-05-24 00:00:00",30,-47
"2015-05-25 00:00:00",44,-62
"2015-05-26 00:00:00",22,-49
"2015-05-27 00:00:00",29,-63
"2015-05-28 00:00:00",8,-52
"2015-05-29 00:00:00",19,-45
"2015-05-30 00:00:00",36,-52
"2015-05-31 00:00:00",32,-63
"2015-06-01 00:00:00",,
"2015-06-02 00:00:00",73,-96
"2015-06-03 00:00:00",20,-99
"2015-06-04 00:00:00",25,-80
"2015-06-05 00:00:00",19,-96
"2015-06-06 00:00:00",24,-83
"2015-06-07 00:00:00",33,-115
"2015-06-08 00:00:00",41,-113
"2015-06-09 00:00:00",18,-71
"2015-06-10 00:00:00",17,-76
"2015-06-11 00:00:00",60,-129
"2015-06-12 00:00:00",42,-101
"2015-06-13 00:00:00",50,-78
"2015-06-14 00:00:00",58,-94
"2015-06-15 00:00:00",48,-100
"2015-06-16 00:00:00",66,-112
"2015-06-17 00:00:00",55,-92
"2015-06-18 00:00:00",37,-96
"2015-06-19 00:00:00",59,-79
"2015-06-20 00:00:00",35,-71
"2015-06-21 00:00:00",63,-74
"2015-06-22 00:00:00",57,-60
"2015-06-23 00:00:00",42,-60
"2015-06-24 00:00:00",53,-82
"2015-06-25 00:00:00",40,-66
"2015-06-26 00:00:00",19,-82
"2015-06-27 00:00:00",64,-63
"2015-06-28 00:00:00",22,-63
"2015-06-29 00:00:00",34,-71
"2015-06-30 00:00:00",39,-57
"2015-07-01 00:00:00",54,-67
"2015-07-02 00:00:00",45,-54
"2015-07-03 00:00:00",40,-49
"2015-07-04 00:00:00",26,-67
"2015-07-05 00:00:00",44,-42
"2015-07-06 00:00:00",27,-38
"2015-07-07 00:00:00",28,-73
"2015-07-08 00:00:00",45,-66
"2015-07-09 00:00:00",52,-54
"2015-07-10 00:00:00",24,-45
"2015-07-11 00:00:00",30,-71
"2015-07-12 00:00:00",30,-56
"2015-07-13 00:00:00",20,-63
"2015-07-14 00:00:00",32,-47
"2015-07-15 00:00:00",23,-85
"2015-07-16 00:00:00",31,-51
"2015-07-17 00:00:00",27,-32
"2015-07-18 00:00:00",27,-59
"2015-07-19 00:00:00",31,-43
"2015-07-20 00:00:00",32,-55
"2015-07-21 00:00:00",57,-57
"2015-07-22 00:00:00",50,-59
"2015-07-23 00:00:00",34,-41
"2015-07-24 00:00:00",50,-35
"2015-07-25 00:00:00",36,-49
"2015-07-26 00:00:00",20,-43
"2015-07-27 00:00:00",59,-39
"2015-07-28 00:00:00",34,-42
"2015-07-29 00:00:00",33,-42
"2015-07-30 00:00:00",43,-58
"2015-07-31 00:00:00",32,-50
"2015-08-01 00:00:00",49,-36
"2015-08-02 00:00:00",35,-41
"2015-08-03 00:00:00",24,-49
"2015-08-04 00:00:00",29,-45
"2015-08-05 00:00:00",51,-44
"2015-08-06 00:00:00",40,-54
"2015-08-07 00:00:00",25,-53
"2015-08-08 00:00:00",36,-54
"2015-08-09 00:00:00",26,-46
"2015-08-10 00:00:00",37,-45
"2015-08-11 00:00:00",53,-43
"2015-08-12 00:00:00",51,-57
"2015-08-13 00:00:00",41,-69
"2015-08-14 00:00:00",25,-64
"2015-08-15 00:00:00",51,-69
"2015-08-16 00:00:00",34,-46
"2015-08-17 00:00:00",50,-44
"2015-08-18 00:00:00",30,-53
"2015-08-19 00:00:00",32,-29
"2015-08-20 00:00:00",24,-46
"2015-08-21 00:00:00",34,-34
"2015-08-22 00:00:00",36,-38
"2015-08-23 00:00:00",40,-55
"2015-08-24 00:00:00",28,-49
"2015-08-25 00:00:00",44,-32
"2015-08-26 00:00:00",27,-53
"2015-08-27 00:00:00",51,-87
"2015-08-28 00:00:00",34,-63
"2015-08-29 00:00:00",42,-64
"2015-08-30 00:00:00",30,-63
"2015-08-31 00:00:00",53,-92
"2015-09-01 00:00:00",36,-60
"2015-09-02 00:00:00",27,-39
"2015-09-03 00:00:00",30,-53
"2015-09-04 00:00:00",17,-54
"2015-09-05 00:00:00",22,-40
"2015-09-06 00:00:00",33,-57
"2015-09-07 00:00:00",27,-55
"2015-09-08 00:00:00",13,-55
"2015-09-09 00:00:00",15,-34
"2015-09-10 00:00:00",5,-32
"2015-09-11 00:00:00",21,-20
"2015-09-12 00:00:00",10,-41
"2015-09-13 00:00:00",23,-28
"2015-09-14 00:00:00",21,-38
"2015-09-15 00:00:00",11,-40
"2015-09-16 00:00:00",22,-24
"2015-09-17 00:00:00",12,-38
"2015-09-18 00:00:00",13,-36
"2015-09-19 00:00:00",2,-36
"2015-09-20 00:00:00",23,-51
"2015-09-21 00:00:00",19,-39
"2015-09-22 00:00:00",23,-34
"2015-09-23 00:00:00",27,-35
"2015-09-24 00:00:00",23,-36
"2015-09-25 00:00:00",27,-33
"2015-09-26 00:00:00",19,-59
"2015-09-27 00:00:00",8,-36
"2015-09-28 00:00:00",22,-34
"2015-09-29 00:00:00",30,-51
"2015-09-30 00:00:00",15,-58
"2015-10-01 00:00:00",21,-59
"2015-10-02 00:00:00",11,-43
"2015-10-03 00:00:00",14,-35
"2015-10-04 00:00:00",15,-64
"2015-10-05 00:00:00",20,-32
"2015-10-06 00:00:00",16,-31
"2015-10-07 00:00:00",17,-40
"2015-10-08 00:00:00",6,-56
"2015-10-09 00:00:00",14,-25
"2015-10-10 00:00:00",22,-47
"2015-10-11 00:00:00",14,-50
"2015-10-12 00:00:00",1,-62
"2015-10-13 00:00:00",23,-24
"2015-10-14 00:00:00",,-56
"2015-10-15 00:00:00",29,-29
"2015-10-16 00:00:00",13,-37
"2015-10-17 00:00:00",7,-30
"2015-10-18 00:00:00",14,-52
"2015-10-19 00:00:00",16,-44
"2015-10-20 00:00:00",6,-37
"2015-10-21 00:00:00",3,-39
"2015-10-22 00:00:00",7,-41
"2015-10-23 00:00:00",11,-27
"2015-10-24 00:00:00",17,-37
"2015-10-25 00:00:00",18,-51
"2015-10-26 00:00:00",17,-62
"2015-10-27 00:00:00",10,-38
"2015-10-28 00:00:00",10,-30
"2015-10-29 00:00:00",13,-51
"2015-10-30 00:00:00",10,-64
"2015-10-31 00:00:00",29,-106
"2015-11-01 00:00:00",34,-65
"2015-11-02 00:00:00",8,-83
"2015-11-03 00:00:00",24,-57
"2015-11-04 00:00:00",21,-45
"2015-11-05 00:00:00",,-66
"2015-11-06 00:00:00",8,-40
"2015-11-07 00:00:00",8,-48
"2015-11-08 00:00:00",26,-66
"2015-11-09 00:00:00",,-56
"2015-11-10 00:00:00",6,-53
"2015-11-11 00:00:00",10,-39
"2015-11-12 00:00:00",5,-34
"2015-11-13 00:00:00",2,-39
"2015-11-14 00:00:00",3,-40
"2015-11-15 00:00:00",,-44
"2015-11-16 00:00:00",15,-55
"2015-11-17 00:00:00",25,-49
"2015-11-18 00:00:00",20,-34
"2015-11-19 00:00:00",11,-32
"2015-11-20 00:00:00",7,-29
"2015-11-21 00:00:00",3,-23
"2015-11-22 00:00:00",11,-66
"2015-11-23 00:00:00",,-57
"2015-11-24 00:00:00",10,-45
"2015-11-25 00:00:00",14,-55
"2015-11-26 00:00:00",17,-51
"2015-11-27 00:00:00",28,-185
"2015-11-28 00:00:00",25,-213
"2015-11-29 00:00:00",20,-76
"2015-11-30 00:00:00",,-68
"2015-12-01 00:00:00",22,-54
"2015-12-02 00:00:00",28,-52
"2015-12-03 00:00:00",6,-58
"2015-12-04 00:00:00",6,-27
"2015-12-05 00:00:00",5,-46
"2015-12-06 00:00:00",4,-77
