"DateTime","Positive reviews","Negative reviews"
"2019-12-11 00:00:00",172,-6
"2019-12-12 00:00:00",272,-1
"2019-12-13 00:00:00",328,-6
"2019-12-14 00:00:00",268,-6
"2019-12-15 00:00:00",344,-7
"2019-12-16 00:00:00",336,-4
"2019-12-17 00:00:00",282,-7
"2019-12-18 00:00:00",326,-2
"2019-12-19 00:00:00",277,-3
"2019-12-20 00:00:00",265,-4
"2019-12-21 00:00:00",498,-15
"2019-12-22 00:00:00",308,-2
"2019-12-23 00:00:00",257,-3
"2019-12-24 00:00:00",220,-2
"2019-12-25 00:00:00",215,
"2019-12-26 00:00:00",230,-3
"2019-12-27 00:00:00",210,-2
"2019-12-28 00:00:00",238,-2
"2019-12-29 00:00:00",250,-4
"2019-12-30 00:00:00",481,-5
"2019-12-31 00:00:00",222,
"2020-01-01 00:00:00",,
"2020-01-02 00:00:00",398,-9
"2020-01-03 00:00:00",279,-2
"2020-01-04 00:00:00",222,-5
"2020-01-05 00:00:00",238,-2
"2020-01-06 00:00:00",236,-4
"2020-01-07 00:00:00",196,-5
"2020-01-08 00:00:00",167,
"2020-01-09 00:00:00",118,-2
"2020-01-10 00:00:00",114,-3
"2020-01-11 00:00:00",116,-1
"2020-01-12 00:00:00",137,-4
"2020-01-13 00:00:00",104,
"2020-01-14 00:00:00",93,-3
"2020-01-15 00:00:00",99,
"2020-01-16 00:00:00",90,-1
"2020-01-17 00:00:00",,
"2020-01-18 00:00:00",77,-1
"2020-01-19 00:00:00",81,-1
"2020-01-20 00:00:00",95,-2
"2020-01-21 00:00:00",67,-2
"2020-01-22 00:00:00",112,
"2020-01-23 00:00:00",256,-16
"2020-01-24 00:00:00",233,-8
"2020-01-25 00:00:00",249,-8
"2020-01-26 00:00:00",263,-4
"2020-01-27 00:00:00",303,-7
"2020-01-28 00:00:00",217,-5
"2020-01-29 00:00:00",235,-5
"2020-01-30 00:00:00",192,-7
"2020-01-31 00:00:00",109,
"2020-02-01 00:00:00",149,-1
"2020-02-02 00:00:00",150,
"2020-02-03 00:00:00",,
"2020-02-04 00:00:00",280,-5
"2020-02-05 00:00:00",110,
"2020-02-06 00:00:00",171,-1
"2020-02-07 00:00:00",83,
"2020-02-08 00:00:00",85,-2
"2020-02-09 00:00:00",126,-3
"2020-02-10 00:00:00",88,-2
"2020-02-11 00:00:00",138,-5
"2020-02-12 00:00:00",71,-2
"2020-02-13 00:00:00",80,-1
"2020-02-14 00:00:00",67,-1
"2020-02-15 00:00:00",74,-1
"2020-02-16 00:00:00",126,-4
"2020-02-17 00:00:00",66,-2
"2020-02-18 00:00:00",50,-3
