"DateTime","Positive reviews","Negative reviews"
"2015-05-13 00:00:00",,
"2015-05-14 00:00:00",2,
"2015-05-15 00:00:00",8,-1
"2015-05-16 00:00:00",13,-4
"2015-05-17 00:00:00",7,-1
"2015-05-18 00:00:00",12,
"2015-05-19 00:00:00",7,-1
"2015-05-20 00:00:00",9,-1
"2015-05-21 00:00:00",10,-2
"2015-05-22 00:00:00",5,-2
"2015-05-23 00:00:00",9,-2
"2015-05-24 00:00:00",11,-1
"2015-05-25 00:00:00",14,-2
"2015-05-26 00:00:00",14,-1
"2015-05-27 00:00:00",14,
"2015-05-28 00:00:00",5,
"2015-05-29 00:00:00",8,-3
"2015-05-30 00:00:00",17,-1
"2015-05-31 00:00:00",17,-2
"2015-06-01 00:00:00",,
"2015-06-02 00:00:00",23,-3
"2015-06-03 00:00:00",9,-2
"2015-06-04 00:00:00",11,-4
"2015-06-05 00:00:00",8,-2
"2015-06-06 00:00:00",19,-1
"2015-06-07 00:00:00",6,-3
"2015-06-08 00:00:00",15,-1
"2015-06-09 00:00:00",11,
"2015-06-10 00:00:00",3,-2
"2015-06-11 00:00:00",9,-2
"2015-06-12 00:00:00",8,
"2015-06-13 00:00:00",8,
"2015-06-14 00:00:00",17,
"2015-06-15 00:00:00",15,-4
"2015-06-16 00:00:00",43,-12
"2015-06-17 00:00:00",57,-13
"2015-06-18 00:00:00",33,-3
"2015-06-19 00:00:00",22,-2
"2015-06-20 00:00:00",23,-2
"2015-06-21 00:00:00",12,-2
"2015-06-22 00:00:00",16,-5
"2015-06-23 00:00:00",12,-2
"2015-06-24 00:00:00",18,-3
"2015-06-25 00:00:00",14,-5
"2015-06-26 00:00:00",6,-1
"2015-06-27 00:00:00",6,-1
"2015-06-28 00:00:00",8,-2
"2015-06-29 00:00:00",15,-1
"2015-06-30 00:00:00",5,-3
"2015-07-01 00:00:00",18,-1
"2015-07-02 00:00:00",4,-3
"2015-07-03 00:00:00",8,-2
"2015-07-04 00:00:00",12,
"2015-07-05 00:00:00",12,
"2015-07-06 00:00:00",11,-1
"2015-07-07 00:00:00",12,-2
"2015-07-08 00:00:00",11,
"2015-07-09 00:00:00",13,-1
"2015-07-10 00:00:00",10,-1
"2015-07-11 00:00:00",4,
"2015-07-12 00:00:00",7,
"2015-07-13 00:00:00",2,
