"DateTime","Positive reviews","Negative reviews"
"2015-05-13 00:00:00",,
"2015-05-14 00:00:00",13,-1
"2015-05-15 00:00:00",34,-1
"2015-05-16 00:00:00",35,
"2015-05-17 00:00:00",22,-1
"2015-05-18 00:00:00",50,-1
"2015-05-19 00:00:00",31,-1
"2015-05-20 00:00:00",29,-1
"2015-05-21 00:00:00",29,
"2015-05-22 00:00:00",19,-1
"2015-05-23 00:00:00",35,-2
"2015-05-24 00:00:00",35,
"2015-05-25 00:00:00",36,-1
"2015-05-26 00:00:00",45,-1
"2015-05-27 00:00:00",28,
"2015-05-28 00:00:00",38,
"2015-05-29 00:00:00",34,-2
"2015-05-30 00:00:00",61,
"2015-05-31 00:00:00",34,
"2015-06-01 00:00:00",,
"2015-06-02 00:00:00",63,-3
"2015-06-03 00:00:00",36,-2
"2015-06-04 00:00:00",24,
"2015-06-05 00:00:00",43,
"2015-06-06 00:00:00",49,
"2015-06-07 00:00:00",42,
"2015-06-08 00:00:00",56,
"2015-06-09 00:00:00",33,
"2015-06-10 00:00:00",38,-1
"2015-06-11 00:00:00",36,
"2015-06-12 00:00:00",65,-2
"2015-06-13 00:00:00",189,-2
"2015-06-14 00:00:00",244,-4
"2015-06-15 00:00:00",189,-6
"2015-06-16 00:00:00",141,-4
"2015-06-17 00:00:00",188,-8
"2015-06-18 00:00:00",107,-1
"2015-06-19 00:00:00",127,-4
"2015-06-20 00:00:00",123,-3
"2015-06-21 00:00:00",135,-1
"2015-06-22 00:00:00",159,
"2015-06-23 00:00:00",145,-1
"2015-06-24 00:00:00",104,
"2015-06-25 00:00:00",89,-3
"2015-06-26 00:00:00",79,
"2015-06-27 00:00:00",95,
"2015-06-28 00:00:00",98,
"2015-06-29 00:00:00",76,-1
"2015-06-30 00:00:00",73,-3
"2015-07-01 00:00:00",54,-1
"2015-07-02 00:00:00",75,
"2015-07-03 00:00:00",63,
"2015-07-04 00:00:00",53,-1
"2015-07-05 00:00:00",49,-2
"2015-07-06 00:00:00",48,
"2015-07-07 00:00:00",64,-2
"2015-07-08 00:00:00",54,
"2015-07-09 00:00:00",61,-4
"2015-07-10 00:00:00",58,
"2015-07-11 00:00:00",54,-1
"2015-07-12 00:00:00",58,-1
"2015-07-13 00:00:00",37,-1
"2015-07-14 00:00:00",52,
"2015-07-15 00:00:00",46,-2
"2015-07-16 00:00:00",52,-1
"2015-07-17 00:00:00",33,-1
"2015-07-18 00:00:00",50,
"2015-07-19 00:00:00",39,
"2015-07-20 00:00:00",34,-2
"2015-07-21 00:00:00",41,
"2015-07-22 00:00:00",54,-1
"2015-07-23 00:00:00",42,
"2015-07-24 00:00:00",38,
"2015-07-25 00:00:00",37,
"2015-07-26 00:00:00",37,-2
"2015-07-27 00:00:00",65,-3
"2015-07-28 00:00:00",46,
"2015-07-29 00:00:00",46,-1
"2015-07-30 00:00:00",35,
"2015-07-31 00:00:00",37,-3
"2015-08-01 00:00:00",35,
"2015-08-02 00:00:00",43,-1
"2015-08-03 00:00:00",43,
"2015-08-04 00:00:00",42,
"2015-08-05 00:00:00",39,
"2015-08-06 00:00:00",42,-1
"2015-08-07 00:00:00",28,-2
"2015-08-08 00:00:00",31,
"2015-08-09 00:00:00",37,
"2015-08-10 00:00:00",26,
"2015-08-11 00:00:00",60,-1
"2015-08-12 00:00:00",26,
"2015-08-13 00:00:00",40,-1
"2015-08-14 00:00:00",51,
"2015-08-15 00:00:00",36,
"2015-08-16 00:00:00",34,
"2015-08-17 00:00:00",60,
"2015-08-18 00:00:00",33,-1
"2015-08-19 00:00:00",46,-1
"2015-08-20 00:00:00",30,
"2015-08-21 00:00:00",26,-1
"2015-08-22 00:00:00",55,
"2015-08-23 00:00:00",31,-1
"2015-08-24 00:00:00",33,-2
"2015-08-25 00:00:00",35,
"2015-08-26 00:00:00",24,-2
"2015-08-27 00:00:00",10,
"2015-08-28 00:00:00",39,
"2015-08-29 00:00:00",55,
"2015-08-30 00:00:00",42,-1
"2015-08-31 00:00:00",50,
"2015-09-01 00:00:00",25,-2
"2015-09-02 00:00:00",38,
"2015-09-03 00:00:00",28,
"2015-09-04 00:00:00",26,-1
"2015-09-05 00:00:00",13,-2
"2015-09-06 00:00:00",40,
"2015-09-07 00:00:00",33,-2
"2015-09-08 00:00:00",25,
"2015-09-09 00:00:00",29,-3
"2015-09-10 00:00:00",33,
"2015-09-11 00:00:00",24,-1
"2015-09-12 00:00:00",35,
"2015-09-13 00:00:00",40,-1
"2015-09-14 00:00:00",39,
"2015-09-15 00:00:00",27,-2
"2015-09-16 00:00:00",24,
"2015-09-17 00:00:00",30,
"2015-09-18 00:00:00",27,
"2015-09-19 00:00:00",23,
"2015-09-20 00:00:00",34,
"2015-09-21 00:00:00",38,
"2015-09-22 00:00:00",17,
"2015-09-23 00:00:00",20,
"2015-09-24 00:00:00",34,-1
"2015-09-25 00:00:00",38,
"2015-09-26 00:00:00",37,-1
"2015-09-27 00:00:00",50,
"2015-09-28 00:00:00",36,-1
"2015-09-29 00:00:00",10,-1
"2015-09-30 00:00:00",16,-1
"2015-10-01 00:00:00",35,
"2015-10-02 00:00:00",31,
"2015-10-03 00:00:00",23,-1
"2015-10-04 00:00:00",53,
"2015-10-05 00:00:00",26,-1
"2015-10-06 00:00:00",44,-4
"2015-10-07 00:00:00",26,
"2015-10-08 00:00:00",24,
"2015-10-09 00:00:00",18,
"2015-10-10 00:00:00",39,
"2015-10-11 00:00:00",44,-2
"2015-10-12 00:00:00",29,-2
"2015-10-13 00:00:00",24,-3
"2015-10-14 00:00:00",27,
"2015-10-15 00:00:00",24,-1
"2015-10-16 00:00:00",23,
"2015-10-17 00:00:00",22,-1
"2015-10-18 00:00:00",55,-1
"2015-10-19 00:00:00",21,-1
"2015-10-20 00:00:00",21,
"2015-10-21 00:00:00",27,-1
"2015-10-22 00:00:00",21,
"2015-10-23 00:00:00",30,
"2015-10-24 00:00:00",4,
"2015-10-25 00:00:00",28,
"2015-10-26 00:00:00",40,-2
"2015-10-27 00:00:00",35,
"2015-10-28 00:00:00",42,-1
"2015-10-29 00:00:00",31,
"2015-10-30 00:00:00",29,
"2015-10-31 00:00:00",28,-1
"2015-11-01 00:00:00",40,
"2015-11-02 00:00:00",35,-2
"2015-11-03 00:00:00",33,
"2015-11-04 00:00:00",28,
"2015-11-05 00:00:00",46,-1
"2015-11-06 00:00:00",32,-3
"2015-11-07 00:00:00",30,-1
"2015-11-08 00:00:00",45,-1
"2015-11-09 00:00:00",51,-1
"2015-11-10 00:00:00",27,
"2015-11-11 00:00:00",34,
"2015-11-12 00:00:00",55,-2
"2015-11-13 00:00:00",67,-2
"2015-11-14 00:00:00",105,-7
"2015-11-15 00:00:00",113,-4
"2015-11-16 00:00:00",127,-4
"2015-11-17 00:00:00",78,-2
"2015-11-18 00:00:00",81,-2
"2015-11-19 00:00:00",53,-1
"2015-11-20 00:00:00",44,
"2015-11-21 00:00:00",85,-2
"2015-11-22 00:00:00",53,-2
"2015-11-23 00:00:00",68,
"2015-11-24 00:00:00",63,-3
"2015-11-25 00:00:00",35,
"2015-11-26 00:00:00",51,
"2015-11-27 00:00:00",83,-2
"2015-11-28 00:00:00",122,
"2015-11-29 00:00:00",215,-5
"2015-11-30 00:00:00",259,-8
"2015-12-01 00:00:00",125,-3
"2015-12-02 00:00:00",116,-1
"2015-12-03 00:00:00",146,-3
"2015-12-04 00:00:00",47,
"2015-12-05 00:00:00",94,-1
"2015-12-06 00:00:00",96,
"2015-12-07 00:00:00",96,
"2015-12-08 00:00:00",80,-3
"2015-12-09 00:00:00",48,
"2015-12-10 00:00:00",45,-2
"2015-12-11 00:00:00",59,-3
"2015-12-12 00:00:00",33,
"2015-12-13 00:00:00",75,-2
"2015-12-14 00:00:00",67,
"2015-12-15 00:00:00",48,-1
"2015-12-16 00:00:00",47,
"2015-12-17 00:00:00",69,-1
"2015-12-18 00:00:00",23,
"2015-12-19 00:00:00",39,-1
"2015-12-20 00:00:00",66,-1
"2015-12-21 00:00:00",41,
"2015-12-22 00:00:00",57,-3
"2015-12-23 00:00:00",124,-2
"2015-12-24 00:00:00",165,-3
"2015-12-25 00:00:00",290,-3
"2015-12-26 00:00:00",122,
"2015-12-27 00:00:00",175,-4
"2015-12-28 00:00:00",163,-5
"2015-12-29 00:00:00",194,-3
"2015-12-30 00:00:00",155,-2
"2015-12-31 00:00:00",224,-2
"2016-01-01 00:00:00",,
"2016-01-02 00:00:00",351,-6
"2016-01-03 00:00:00",257,-6
"2016-01-04 00:00:00",131,
"2016-01-05 00:00:00",123,-5
"2016-01-06 00:00:00",123,-6
"2016-01-07 00:00:00",121,
"2016-01-08 00:00:00",98,-1
"2016-01-09 00:00:00",74,-5
"2016-01-10 00:00:00",93,
"2016-01-11 00:00:00",80,-1
"2016-01-12 00:00:00",71,
"2016-01-13 00:00:00",61,-1
"2016-01-14 00:00:00",51,
"2016-01-15 00:00:00",75,-3
"2016-01-16 00:00:00",72,-1
"2016-01-17 00:00:00",60,-4
"2016-01-18 00:00:00",73,-2
"2016-01-19 00:00:00",87,
"2016-01-20 00:00:00",45,-3
"2016-01-21 00:00:00",43,-2
"2016-01-22 00:00:00",43,
"2016-01-23 00:00:00",76,
"2016-01-24 00:00:00",70,
"2016-01-25 00:00:00",64,
"2016-01-26 00:00:00",37,
"2016-01-27 00:00:00",44,
"2016-01-28 00:00:00",51,-1
"2016-01-29 00:00:00",35,
"2016-01-30 00:00:00",49,
"2016-01-31 00:00:00",68,-4
"2016-02-01 00:00:00",60,
"2016-02-02 00:00:00",53,-2
"2016-02-03 00:00:00",55,-2
"2016-02-04 00:00:00",53,
"2016-02-05 00:00:00",40,-2
"2016-02-06 00:00:00",66,-4
"2016-02-07 00:00:00",70,-3
"2016-02-08 00:00:00",103,-4
"2016-02-09 00:00:00",103,
"2016-02-10 00:00:00",69,-4
"2016-02-11 00:00:00",77,-5
"2016-02-12 00:00:00",106,-2
"2016-02-13 00:00:00",108,-4
"2016-02-14 00:00:00",78,-1
"2016-02-15 00:00:00",107,-2
"2016-02-16 00:00:00",93,
"2016-02-17 00:00:00",48,-1
"2016-02-18 00:00:00",66,-1
"2016-02-19 00:00:00",61,-1
"2016-02-20 00:00:00",62,-1
"2016-02-21 00:00:00",62,
"2016-02-22 00:00:00",69,-2
"2016-02-23 00:00:00",69,-1
"2016-02-24 00:00:00",39,-1
"2016-02-25 00:00:00",56,
"2016-02-26 00:00:00",38,-2
"2016-02-27 00:00:00",69,
"2016-02-28 00:00:00",56,-1
